timestamp,symbol,price,ADX,ATR_val,ATR_pct,SuperTracker_osc,SuperTracker_sig,signals
2025-08-03T20:21:27.447129,ACN,255.37,56.31,0.52,0.21,18.73,18.73,ADX ≥ 20.0;MACD 🚀;BB breakout;Price > SMA20
2025-08-03T20:21:29.846515,AFL,98.09,36.46,0.15,0.16,24.79,24.79,ADX ≥ 20.0;MACD 🚀;BB breakout;RSI 📈;Price > SMA20
2025-08-03T20:21:35.955665,GOOGL,189.13,20.90,0.31,0.16,12.88,12.88,ADX ≥ 20.0;MACD 🚀;BB breakout;Price > SMA20
2025-08-03T20:21:39.783944,AXP,294.10,25.69,0.59,0.20,19.77,19.77,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T20:21:40.556309,AIG,76.97,20.11,0.11,0.15,18.04,18.04,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T20:21:41.312814,AMT,212.12,32.47,0.37,0.17,33.64,33.64,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T20:21:45.826940,APA,18.46,27.05,0.06,0.31,15.15,15.15,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T20:21:46.590095,APO,138.28,22.31,0.42,0.30,11.82,11.82,ADX ≥ 20.0;MACD 🚀;RSI 📈;Price > SMA20
2025-08-03T20:21:48.866945,ACGL,88.00,39.74,0.14,0.16,24.87,24.87,ADX ≥ 20.0;MACD 🚀;BB breakout;RSI 📈;Price > SMA20
2025-08-03T20:21:50.075660,ANET,117.53,26.62,0.36,0.30,7.28,7.28,ADX ≥ 20.0;MACD 🚀;RSI 📈;Price > SMA20
2025-08-03T20:21:50.850616,AJG,283.98,34.08,0.76,0.27,65.80,65.80,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T20:21:53.029017,ADSK,297.02,21.27,0.50,0.17,7.82,7.82,ADX ≥ 20.0;MACD 🚀;BB breakout;RSI 📈;Price > SMA20
2025-08-03T20:56:29.728654,ACN,255.37,56.31,0.52,0.21,18.73,18.73,ADX ≥ 20.0;MACD 🚀;BB breakout;Price > SMA20
2025-08-03T20:56:31.847376,AFL,98.09,36.46,0.15,0.16,24.79,24.79,ADX ≥ 20.0;MACD 🚀;BB breakout;RSI 📈;Price > SMA20
2025-08-03T22:18:47.359685,ACN,255.37,56.31,0.52,0.21,18.73,18.73,ADX ≥ 20.0;MACD 🚀;BB breakout;Price > SMA20
2025-08-03T22:18:49.451826,AFL,98.09,36.46,0.15,0.16,24.79,24.79,ADX ≥ 20.0;MACD 🚀;BB breakout;RSI 📈;Price > SMA20
2025-08-03T22:18:55.025566,GOOGL,189.13,20.90,0.31,0.16,12.88,12.88,ADX ≥ 20.0;MACD 🚀;BB breakout;Price > SMA20
2025-08-03T22:18:58.380890,AXP,294.10,25.69,0.59,0.20,19.77,19.77,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T22:18:59.106129,AIG,76.97,20.11,0.11,0.15,18.04,18.04,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T22:18:59.770509,AMT,212.12,32.47,0.37,0.17,33.64,33.64,ADX ≥ 20.0;MACD 🚀;Price > SMA20
2025-08-03T22:19:04.068323,APA,18.46,27.05,0.06,0.31,15.15,15.15,ADX ≥ 20.0;MACD 🚀;Price > SMA20
