Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $
JBHT,1,--,--,205.61,--,--,207.52,1.91
    Sell,1,1/14/2026,205.61,205.61,1/15/2026,207.52,207.52,1.91
JKHY,1,--,--,191.46,--,--,191.9,0.44
    Sell,1,1/14/2026,191.46,191.46,1/15/2026,191.9,191.9,0.44
LHX,15,--,--,5128.14,--,--,5078.26,-37.75
    Sell,1,1/16/2026,344.4,344.4,1/16/2026,344.38,344.38,0
    Sell,1,1/14/2026,347.5,347.5,1/14/2026,340.69,340.69,-6.81
    Sell,1,1/13/2026,342.91,342.91,1/13/2026,341.21,341.21,-1.7
    Sell,1,1/13/2026,341.71,341.71,1/13/2026,337.66,337.66,-4.05
    Sell,1,1/13/2026,339.63,339.63,1/13/2026,337.67,337.67,-1.96
    Sell,1,1/13/2026,338.52,338.52,1/13/2026,337.66,337.66,-0.86
    Sell,1,1/13/2026,341.42,341.42,1/13/2026,337.67,337.67,-3.75
    Sell,1,1/13/2026,342.8,342.8,1/13/2026,337.67,337.67,0
    Sell,1,1/13/2026,340.72,340.72,1/13/2026,337.67,337.67,-3.05
    Sell,1,1/13/2026,341.23,341.23,1/13/2026,337.66,337.66,0
    Sell,1,1/13/2026,341.1,341.1,1/13/2026,337.67,337.67,0
    Sell,1,1/13/2026,341.01,341.01,1/13/2026,337.66,337.66,-3.35
    Sell,1,1/13/2026,342.72,342.72,1/13/2026,337.67,337.67,-5.05
    Sell,1,1/13/2026,341.39,341.39,1/13/2026,337.66,337.66,-3.73
    Sell,1,1/13/2026,341.08,341.08,1/13/2026,337.66,337.66,-3.42
LRCX,1,--,--,224.1,--,--,221.78,-2.32
    Sell,1,1/16/2026,224.1,224.1,1/16/2026,221.78,221.78,-2.32
LUV,8,--,--,342.18,--,--,345.7,3.52
    Sell,8,1/16/2026,42.77,342.18,1/16/2026,43.21,345.7,3.52
ACN,1,--,--,289.96,--,--,286.5,-3.46
    Sell,1,1/14/2026,289.96,289.96,1/15/2026,286.5,286.5,-3.46
Total,,,,21527.25,,,21467.03,-60.22
Generated at Jan 18 2026 12:48 AM ET,,,,,,,,
