Account Summary,,,,,,,,,,,
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Intraday Marginable Securities,Intraday Non-Marginable Securities,,,
Individual Brokerage -7458,451.27,0,0,0,0,451.27,451.27,451.27,,,
,,,,,,,,,,,
SEARCH CRITERIA,,,,,,,,,,,
Account,Start Date,End  Date,Symbol,Security Type,Covered,Term,,,,,
Individual Brokerage -7458,8/1/2025,10/7/2025,All,Stocks  Options  Mutual Funds  Bonds  ETFs  ,All,All,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
TAXABLE G&L SUMMARY,,,,,,,,,,,
Total Gain Realized,Short-Term Gain Realized,Long-Term Gain Realized,Deferred Loss,Total Commissions & Fees,,,,,,,
-3368.29,34.01,-3402.3,0,17.99,,,,,,,
TAXABLE G&L DETAILS,,,,,,,,,,,
Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $,Deferred Loss $,Term,Lot Selection
    Sell,1,8/29/2025,104.87,104.87,9/2/2025,104.74,104.74,-0.13,0,Short,FIFO
UBER,1,--,--,99.18,--,--,99.3,0.12,--,Short,--
    Sell,1,10/6/2025,99.18,99.18,10/7/2025,99.3,99.3,0.12,0,Short,FIFO
VZ,1,--,--,44.95,--,--,44.9,-0.05,--,Short,--
    Sell,1,8/19/2025,44.95,44.95,8/19/2025,44.9,44.9,-0.05,0,Short,FIFO
WBD,1,--,--,12.21,--,--,17.52,5.31,--,Short,--
    Sell,1,9/8/2025,12.21,12.21,9/12/2025,17.52,17.52,5.31,0,Short,FIFO
PCG,1,--,--,14.86,--,--,15.65,0.79,--,Short,--
    Sell,1,9/9/2025,14.86,14.86,9/12/2025,15.65,15.65,0.79,0,Short,FIFO
ON,2,--,--,98.39,--,--,104.5,6.11,--,Short,--
    Sell,2,9/16/2025,49.2,98.39,9/18/2025,52.25,104.5,6.11,0,Short,FIFO
OMC,1,--,--,79.72,--,--,79.72,0,--,Short,--
    Sell,1,10/7/2025,79.72,79.72,10/7/2025,79.72,79.72,0,0,Short,FIFO
INTC,2,--,--,61.64,--,--,60.88,-0.76,--,Short,--
    Sell,2,9/18/2025,30.82,61.64,9/24/2025,30.44,60.88,-0.76,0,Short,FIFO
IR,1,--,--,81.41,--,--,81.78,0.37,--,Short,--
    Sell,1,9/24/2025,81.41,81.41,9/26/2025,81.78,81.78,0.37,0,Short,FIFO
IVZ,5,--,--,111.28,--,--,111.37,0.09,--,Short,--
    Sell,4,9/9/2025,22.35,89.4,9/12/2025,22.32,89.29,-0.11,0,Short,FIFO
    Sell,1,9/5/2025,21.88,21.88,9/8/2025,22.08,22.08,0.2,0,Short,FIFO
KO,1,--,--,66.87,--,--,66.5,-0.37,--,Short,--
    Sell,1,9/18/2025,66.87,66.87,9/24/2025,66.5,66.5,-0.37,0,Short,FIFO
L,1,--,--,99.14,--,--,100.35,1.21,--,Short,--
    Sell,1,9/24/2025,99.14,99.14,9/26/2025,100.35,100.35,1.21,0,Short,FIFO
MDT,1,--,--,93.24,--,--,91.97,-1.27,--,Short,--
    Sell,1,9/4/2025,93.24,93.24,9/8/2025,91.97,91.97,-1.27,0,Short,FIFO
MRNA,4,--,--,97.92,--,--,107.24,9.32,--,Short,--
    Sell,4,9/16/2025,24.48,97.92,9/22/2025,26.81,107.24,9.32,0,Short,FIFO
NCLH,4,--,--,101.05,--,--,104.910001,3.86,--,Short,--
    Sell,1,9/29/2025,25.31,25.31,10/7/2025,23.86,23.86,-1.45,0,Short,FIFO
    Sell,3,9/9/2025,25.25,75.74,9/12/2025,27.02,81.050001,5.31,0,Short,FIFO
OKE,1,--,--,74.28,--,--,74.76,0.48,--,Short,--
    Sell,1,9/24/2025,74.28,74.28,9/26/2025,74.76,74.76,0.48,0,Short,FIFO
ALB,1,--,--,90.62,--,--,92.85,2.23,--,Short,--
    Sell,1,10/6/2025,90.62,90.62,10/7/2025,92.85,92.85,2.23,0,Short,FIFO
Total,,,,7240.71,,,3872.42,-3368.29,0,,
Generated at Oct 12 2025 02:54 PM ET,,,,,,,,,,,
